Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
maven,org.apache.maven.api,ArtifactCoordinate,getId,3,1,0,75,0,org.apache.maven.api.ArtifactCoordinate,org.apache.maven.api.ArtifactCoordinate
maven,org.apache.maven.api,Dependency,getType,0,1,0,25,0,,
maven,org.apache.maven.api,Dependency,getScope,0,1,0,33,0,,
maven,org.apache.maven.api,Dependency,isOptional,0,1,0,36,0,,
maven,org.apache.maven.api,Dependency,toCoordinate,0,1,0,38,0,,
maven,org.apache.maven.api,DependencyCoordinate,getType,0,1,0,35,0,,
maven,org.apache.maven.api,DependencyCoordinate,getScope,0,1,0,43,0,,
maven,org.apache.maven.api,DependencyCoordinate,getOptional,0,1,0,46,0,,
maven,org.apache.maven.api,DependencyCoordinate,getExclusions,0,1,0,49,0,,
maven,org.apache.maven.api,Event,getType,0,1,0,36,0,,
maven,org.apache.maven.api,Event,getSession,0,1,0,44,0,,
maven,org.apache.maven.api,Event,getProject,0,1,0,52,0,,
maven,org.apache.maven.api,Event,getMojoExecution,0,1,0,60,0,,
maven,org.apache.maven.api,Event,getException,0,1,0,68,0,,
maven,org.apache.maven.api,Exclusion,getGroupId,0,1,0,32,0,,
maven,org.apache.maven.api,Exclusion,getArtifactId,0,1,0,35,0,,
maven,org.apache.maven.api,JavaToolchain,getJavaHome,0,1,0,31,0,,
maven,org.apache.maven.api,Listener,onEvent,0,1,1,35,0,,
maven,org.apache.maven.api,LocalRepository,getPath,0,1,0,37,0,,
maven,org.apache.maven.api,MojoExecution,getPlugin,0,1,0,33,0,,
maven,org.apache.maven.api,MojoExecution,getExecutionId,0,1,0,36,0,,
maven,org.apache.maven.api,MojoExecution,getGoal,0,1,0,39,0,,
maven,org.apache.maven.api,MojoExecution,getConfiguration,0,1,0,42,0,,
maven,org.apache.maven.api,Node,getDependency,0,1,0,40,0,,
maven,org.apache.maven.api,Node,getChildren,0,1,0,45,0,,
