Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
maven,org.apache.maven.api.services,ArtifactFactoryRequest.ArtifactFactoryRequestBuilder,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: session; groupId; artifactId; version; classifier; extension; type; groupId; artifactId; version; classifier; extension; type
maven,org.apache.maven.api.services,ArtifactFactoryRequest.DefaultArtifactFactoryRequest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
maven,org.apache.maven.api.services,ArtifactFactoryRequest.DefaultArtifactFactoryRequest,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: groupId; artifactId; version; classifier; extension; type
maven,org.apache.maven.api.services,ArtifactInstallerException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
maven,org.apache.maven.api.services,ArtifactInstallerException,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): MavenException
maven,org.apache.maven.api.services,ArtifactInstallerRequest.ArtifactInstallerRequestBuilder,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: session; artifacts; artifacts
maven,org.apache.maven.api.services,ArtifactInstallerRequest.ArtifactInstallerRequestBuilder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
maven,org.apache.maven.api.services,ArtifactInstallerRequest.DefaultArtifactInstallerRequest,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: artifacts
maven,org.apache.maven.api.services,ArtifactInstallerRequest.DefaultArtifactInstallerRequest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
maven,org.apache.maven.api.services,ArtifactResolverException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
maven,org.apache.maven.api.services,ArtifactResolverException,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): MavenException
maven,org.apache.maven.api.services,ArtifactResolverRequest.ArtifactResolverRequestBuilder,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: session; coordinates; coordinates
maven,org.apache.maven.api.services,ArtifactResolverRequest.ArtifactResolverRequestBuilder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
